Date,Time,Open,High,Low,Close,Volume
2002.05.01,00:00,0.91535,0.93705,0.90275,0.9339,19
2002.06.03,00:00,0.9339,0.9919,0.9329,0.9919,20
2002.07.01,00:00,0.9919,1.01195,0.9731,0.9775,23
2002.08.01,00:00,0.9775,0.9866,0.96635,0.9822,22
2002.09.02,00:00,0.9822,0.99695,0.9692,0.9875,19
2002.10.01,00:00,0.9875,0.9898,0.9709,0.9898,23
2002.11.01,00:00,0.9898,1.013,0.9898,0.9944,21
2002.12.02,00:00,0.9944,1.0439,0.9944,1.0435,21
2003.01.01,00:00,1.0435,1.0856,1.03615,1.0765,24
2003.02.03,00:00,1.0765,1.0883,1.0691,1.0801,20
2003.03.03,00:00,1.0801,1.1058,1.0525,1.0926,21
2003.04.01,00:00,1.0926,1.1174,1.0688,1.1174,22
2003.05.01,00:00,1.1174,1.19065,1.1174,1.1783,22
2003.06.02,00:00,1.1783,1.1877,1.1425,1.1506,21
2003.07.01,00:00,1.1506,1.1562,1.1174,1.1232,23
2003.08.01,00:00,1.1232,1.1387,1.0855,1.0984,21
2003.09.01,00:00,1.0984,1.1657,1.0809,1.1657,22
2003.10.01,00:00,1.1657,1.1811,1.1563,1.1583,23
2003.11.03,00:00,1.1583,1.1993,1.1408,1.1993,20
2003.12.01,00:00,1.1993,1.2578,1.1976,1.2578,23
2004.01.01,00:00,1.2578,1.2841,1.2352,1.2475,45
2004.02.02,00:00,1.2475,1.2837,1.2427,1.2494,40
2004.03.01,00:00,1.2494,1.2494,1.2121,1.2316,46
2004.04.01,00:00,1.2316,1.2363,1.1823,1.1981,44
2004.05.03,00:00,1.1981,1.2263,1.182,1.21875,42
2004.06.01,00:00,1.21875,1.2321,1.2005,1.2199,44
2004.07.01,00:00,1.2199,1.2451,1.20195,1.20195,44
2004.08.02,00:00,1.20195,1.2374,1.2013,1.2183,44
2004.09.01,00:00,1.2183,1.2434,1.2058,1.2434,44
2004.10.01,00:00,1.2434,1.28067,1.22845,1.2744,40
2004.11.01,00:00,1.2744,1.32952,1.2727,1.32952,44
2004.12.01,00:00,1.32952,1.3642,1.32125,1.3568,46
2005.01.03,00:00,1.3568,1.35815,1.29198,1.30386,781410
