DATE,TIME,O,H,L,C,V
2002.05.06,00:00,0.91535,0.91535,0.90435,0.9141,4
2002.05.13,00:00,0.9141,0.9209,0.90275,0.9209,5
2002.05.20,00:00,0.9209,0.92575,0.91985,0.9211,5
2002.05.27,00:00,0.9211,0.93705,0.9209,0.9339,5
2002.06.03,00:00,0.9339,0.94765,0.9329,0.944,5
2002.06.10,00:00,0.944,0.94825,0.9432,0.9456,5
2002.06.17,00:00,0.9456,0.9711,0.94445,0.9706,5
2002.06.24,00:00,0.9706,0.9919,0.97045,0.9919,5
2002.07.01,00:00,0.9919,0.9919,0.9731,0.9731,5
2002.07.08,00:00,0.9731,0.99355,0.9731,0.9915,5
2002.07.15,00:00,0.9915,1.01195,0.9912,1.0107,5
2002.07.22,00:00,1.0107,1.0112,0.9871,0.9871,5
2002.07.29,00:00,0.9871,0.9871,0.9775,0.9866,5
2002.08.05,00:00,0.9866,0.9866,0.96635,0.9704,5
2002.08.12,00:00,0.9704,0.9851,0.9698,0.9851,5
2002.08.19,00:00,0.9851,0.9851,0.96915,0.973,5
2002.08.26,00:00,0.973,0.98485,0.97195,0.9822,5
2002.09.02,00:00,0.9822,0.99695,0.9822,0.9916,4
2002.09.09,00:00,0.9916,0.9916,0.9717,0.9717,4
2002.09.16,00:00,0.9717,0.98665,0.9692,0.9823,5
2002.09.23,00:00,0.9823,0.9823,0.9762,0.9805,5
2002.09.30,00:00,0.9805,0.9879,0.9793,0.9793,5
2002.10.07,00:00,0.9793,0.98975,0.9788,0.9873,5
2002.10.14,00:00,0.9873,0.9873,0.9709,0.9723,5
2002.10.21,00:00,0.9723,0.978,0.9723,0.9761,5
2002.10.28,00:00,0.9761,0.9972,0.9761,0.9972,5
2002.11.04,00:00,0.9972,1.013,0.9971,1.013,5
2002.11.11,00:00,1.013,1.013,1.0043,1.0093,5
2002.11.18,00:00,1.0093,1.0093,0.9966,0.9966,5
2002.11.25,00:00,0.9966,0.9968,0.9905,0.9944,5
2002.12.02,00:00,0.9944,1.0098,0.9944,1.0088,5
2002.12.09,00:00,1.0088,1.0229,1.0083,1.0229,5
2002.12.16,00:00,1.0229,1.02845,1.0229,1.0268,5
2002.12.23,00:00,1.0268,1.0439,1.0263,1.0439,5
2002.12.30,00:00,1.0439,1.0493,1.03615,1.0415,5
2003.01.06,00:00,1.0415,1.0579,1.0415,1.0572,5
2003.01.13,00:00,1.0572,1.0669,1.0545,1.0669,5
2003.01.20,00:00,1.0669,1.0831,1.0656,1.0831,5
2003.01.27,00:00,1.0831,1.0856,1.0765,1.0765,5
2003.02.03,00:00,1.0765,1.0883,1.0765,1.0821,5
2003.02.10,00:00,1.0821,1.0835,1.0718,1.0794,5
2003.02.17,00:00,1.0794,1.0818,1.0691,1.0764,5
2003.02.24,00:00,1.0764,1.0801,1.0735,1.0801,5
2003.03.03,00:00,1.0801,1.1005,1.0785,1.0996,5
2003.03.10,00:00,1.0996,1.1058,1.0742,1.0753,5
2003.03.17,00:00,1.0753,1.0764,1.0525,1.0528,5
2003.03.24,00:00,1.0528,1.0781,1.0528,1.0781,5
2003.03.31,00:00,1.0781,1.0926,1.0731,1.0739,5
2003.04.07,00:00,1.0739,1.079,1.0688,1.0757,5
2003.04.14,00:00,1.0757,1.0915,1.0744,1.08805,5
2003.04.21,00:00,1.08805,1.1036,1.087,1.1036,5
2003.04.28,00:00,1.1036,1.12375,1.0986,1.1234,5
2003.05.05,00:00,1.1234,1.14985,1.1231,1.1487,5
2003.05.12,00:00,1.1487,1.1597,1.1385,1.1597,5
2003.05.19,00:00,1.1597,1.1834,1.1597,1.1834,5
2003.05.26,00:00,1.1834,1.19065,1.1763,1.1783,5
2003.06.02,00:00,1.1783,1.1837,1.1642,1.1699,5
2003.06.09,00:00,1.1699,1.1861,1.1673,1.1861,5
2003.06.16,00:00,1.1861,1.1877,1.1602,1.1602,5
2003.06.23,00:00,1.1602,1.1602,1.1425,1.1433,5
2003.06.30,00:00,1.1433,1.1562,1.1433,1.1489,5
2003.07.07,00:00,1.1489,1.1489,1.1297,1.1297,5
2003.07.14,00:00,1.1297,1.1297,1.1174,1.1275,5
2003.07.21,00:00,1.1275,1.1512,1.1264,1.1512,5
2003.07.28,00:00,1.1512,1.1512,1.1232,1.1275,5
2003.08.04,00:00,1.1275,1.1387,1.1275,1.1309,5
2003.08.11,00:00,1.1309,1.1359,1.1262,1.1266,5
2003.08.18,00:00,1.1266,1.1266,1.0877,1.0877,5
2003.08.25,00:00,1.0877,1.0984,1.0855,1.0984,5
2003.09.01,00:00,1.0984,1.1105,1.0809,1.1105,5
2003.09.08,00:00,1.1105,1.1291,1.1068,1.1291,5
2003.09.15,00:00,1.1291,1.1371,1.1177,1.1371,5
2003.09.22,00:00,1.1371,1.1496,1.1371,1.1463,5
2003.09.29,00:00,1.1463,1.1716,1.1459,1.158,5
2003.10.06,00:00,1.158,1.1811,1.1563,1.1798,5
2003.10.13,00:00,1.1798,1.181,1.1585,1.1679,5
2003.10.20,00:00,1.1679,1.1804,1.1636,1.1781,5
2003.10.27,00:00,1.1781,1.1781,1.1583,1.1583,5
2003.11.03,00:00,1.1583,1.159,1.1408,1.1535,5
2003.11.10,00:00,1.1535,1.1782,1.1492,1.1782,5
2003.11.17,00:00,1.1782,1.1949,1.1753,1.1917,5
2003.11.24,00:00,1.1917,1.1993,1.1761,1.1993,5
2003.12.01,00:00,1.1993,1.2166,1.1976,1.2166,5
2003.12.08,00:00,1.2166,1.2294,1.2166,1.2294,5
2003.12.15,00:00,1.2294,1.2435,1.21615,1.2378,5
2003.12.22,00:00,1.2378,1.2453,1.2378,1.243,5
2003.12.29,00:00,1.243,1.2593,1.243,1.2593,8
2004.01.05,00:00,1.2593,1.2841,1.2585,1.2841,10
2004.01.12,00:00,1.2841,1.2841,1.2373,1.2401,10
2004.01.19,00:00,1.2401,1.271,1.2352,1.2588,10
2004.01.26,00:00,1.2588,1.2639,1.2414,1.2475,10
2004.02.02,00:00,1.2475,1.2702,1.2427,1.2701,10
2004.02.09,00:00,1.2701,1.2826,1.26275,1.2742,10
2004.02.16,00:00,1.2742,1.2837,1.2527,1.2527,10
2004.02.23,00:00,1.2527,1.2685,1.2433,1.2494,10
2004.03.01,00:00,1.2494,1.2494,1.2192,1.2375,10
2004.03.08,00:00,1.2375,1.2408,1.2222,1.2222,10
2004.03.15,00:00,1.2222,1.239,1.2222,1.2276,10
2004.03.22,00:00,1.2276,1.2333,1.2127,1.2127,10
2004.03.29,00:00,1.2127,1.2363,1.2121,1.2136,10
2004.04.05,00:00,1.2136,1.2173,1.2018,1.2093,10
2004.04.12,00:00,1.2093,1.2093,1.1946,1.1994,10
2004.04.19,00:00,1.1994,1.2024,1.1842,1.1847,10
2004.04.26,00:00,1.1847,1.1981,1.1823,1.1981,10
2004.05.03,00:00,1.1981,1.2175,1.1881,1.1881,10
2004.05.10,00:00,1.1881,1.1901,1.182,1.1887,10
2004.05.17,00:00,1.1887,1.2027,1.1887,1.1979,10
2004.05.24,00:00,1.1979,1.2263,1.1979,1.2221,10
2004.05.31,00:00,1.2221,1.228,1.21875,1.228,10
2004.06.07,00:00,1.228,1.2321,1.2005,1.2005,10
2004.06.14,00:00,1.2005,1.2162,1.2005,1.2137,10
2004.06.21,00:00,1.2137,1.2177,1.2093,1.2177,10
2004.06.28,00:00,1.2177,1.2316,1.2081,1.2316,10
2004.07.05,00:00,1.2316,1.24135,1.2283,1.24135,10
2004.07.12,00:00,1.24135,1.2451,1.2327,1.2451,10
2004.07.19,00:00,1.2451,1.2451,1.209,1.209,10
2004.07.26,00:00,1.209,1.2142,1.20195,1.20195,10
2004.08.02,00:00,1.20195,1.228,1.20195,1.228,10
2004.08.09,00:00,1.228,1.2374,1.2219,1.2374,10
2004.08.16,00:00,1.2374,1.2374,1.232,1.232,10
2004.08.23,00:00,1.232,1.232,1.2013,1.2013,10
2004.08.30,00:00,1.2013,1.2189,1.2013,1.2059,10
2004.09.06,00:00,1.2059,1.2263,1.2058,1.2263,10
2004.09.13,00:00,1.2263,1.22665,1.21505,1.2188,10
2004.09.20,00:00,1.2188,1.23361,1.21765,1.2275,10
2004.09.27,00:00,1.2275,1.2434,1.2275,1.2416,10
2004.10.04,00:00,1.2416,1.2416,1.22845,1.2409,10
2004.10.11,00:00,1.2409,1.2467,1.23278,1.2467,10
