DATE,TIME,O,H,L,C,V
2024.01.10,09:13:30,1.09327,1.09329,1.09326,1.09328,17
2024.01.10,09:14:00,1.09328,1.09328,1.09323,1.09323,8
2024.01.10,09:14:30,1.09324,1.0933,1.09323,1.09329,6
2024.01.10,09:15:00,1.09329,1.0933,1.09326,1.09327,11
2024.01.10,09:15:30,1.09328,1.09328,1.09323,1.09323,4
2024.01.10,09:16:00,1.09323,1.09324,1.0932,1.09321,9
2024.01.10,09:16:30,1.09318,1.09322,1.09318,1.09318,16
2024.01.10,09:17:00,1.09318,1.0932,1.09314,1.09318,12
2024.01.10,09:17:30,1.09318,1.09319,1.09318,1.09318,8
2024.01.10,09:18:00,1.09318,1.09322,1.09314,1.09314,14
2024.01.10,09:18:30,1.09314,1.09314,1.09308,1.0931,16
2024.01.10,09:19:00,1.0931,1.09318,1.09308,1.09318,16
2024.01.10,09:19:30,1.09324,1.09326,1.09319,1.09319,18
2024.01.10,09:20:00,1.09319,1.09322,1.09319,1.09322,4
2024.01.10,09:20:30,1.09322,1.09325,1.09318,1.09318,39
2024.01.10,09:21:00,1.09318,1.09318,1.0931,1.0931,21
2024.01.10,09:21:30,1.09309,1.09319,1.09309,1.09319,22
2024.01.10,09:22:00,1.09319,1.09319,1.09316,1.09316,6
2024.01.10,09:22:30,1.09316,1.0932,1.09312,1.0932,20
2024.01.10,09:23:00,1.0932,1.09322,1.0932,1.0932,15
2024.01.10,09:23:30,1.09322,1.09324,1.09316,1.09316,17
2024.01.10,09:24:00,1.09316,1.0932,1.09314,1.0932,12
2024.01.10,09:24:30,1.09322,1.09322,1.09318,1.0932,4
2024.01.10,09:25:00,1.0932,1.0932,1.09316,1.09316,15
2024.01.10,09:25:30,1.09316,1.09318,1.09316,1.09318,10
2024.01.10,09:26:00,1.09318,1.09325,1.09318,1.09321,15
2024.01.10,09:26:30,1.09322,1.09331,1.09322,1.0933,16
2024.01.10,09:27:00,1.0933,1.0933,1.09323,1.09323,20
2024.01.10,09:27:30,1.09318,1.09319,1.09318,1.09318,9
2024.01.10,09:28:00,1.09318,1.09326,1.09318,1.09324,21
2024.01.10,09:28:30,1.09326,1.09326,1.09322,1.09325,22
2024.01.10,09:29:00,1.09325,1.09325,1.09318,1.09323,20
2024.01.10,09:29:30,1.09322,1.09326,1.0932,1.09323,24
2024.01.10,09:30:00,1.09323,1.09324,1.09319,1.0932,18
2024.01.10,09:30:30,1.0932,1.09321,1.09313,1.09316,22
2024.01.10,09:31:00,1.09316,1.09318,1.09308,1.09308,25
2024.01.10,09:31:30,1.09308,1.09308,1.093,1.09302,14
2024.01.10,09:32:00,1.09302,1.09304,1.093,1.09302,16
2024.01.10,09:32:30,1.09298,1.09312,1.09298,1.09306,36
2024.01.10,09:33:00,1.09306,1.09312,1.09304,1.09309,36
2024.01.10,09:33:30,1.0931,1.09314,1.09309,1.0931,27
2024.01.10,09:34:00,1.0931,1.0931,1.09306,1.09308,30
2024.01.10,09:34:30,1.09308,1.0931,1.09304,1.09304,32
2024.01.10,09:35:00,1.09304,1.09305,1.09298,1.09304,30
2024.01.10,09:35:30,1.09306,1.09306,1.09299,1.093,31
2024.01.10,09:36:00,1.093,1.09304,1.09295,1.09298,38
2024.01.10,09:36:30,1.09298,1.09298,1.0929,1.09292,23
2024.01.10,09:37:00,1.09292,1.09294,1.09292,1.09294,24
2024.01.10,09:37:30,1.09294,1.09294,1.09286,1.09288,26
2024.01.10,09:38:00,1.09288,1.09292,1.09288,1.09291,10
2024.01.10,09:38:30,1.0929,1.09294,1.09288,1.09288,19
2024.01.10,09:39:00,1.09288,1.0929,1.09286,1.09287,9
2024.01.10,09:39:30,1.09282,1.09288,1.09282,1.09288,13
2024.01.10,09:40:00,1.09288,1.09293,1.09284,1.09292,27
2024.01.10,09:40:30,1.09294,1.09294,1.09286,1.09286,30
2024.01.10,09:41:00,1.09286,1.09288,1.09286,1.09288,6
2024.01.10,09:41:30,1.09287,1.09292,1.09283,1.09292,24
2024.01.10,09:42:00,1.09292,1.09294,1.09288,1.09292,13
2024.01.10,09:42:30,1.09295,1.09295,1.09285,1.09285,18
2024.01.10,09:43:00,1.09285,1.09292,1.09284,1.0929,13
2024.01.10,09:43:30,1.09289,1.09291,1.09288,1.09291,19
2024.01.10,09:44:00,1.09291,1.09291,1.0928,1.09282,18
2024.01.10,09:44:30,1.0928,1.09288,1.09276,1.09288,27
2024.01.10,09:45:00,1.09288,1.09291,1.09282,1.09287,36
2024.01.10,09:45:30,1.09287,1.09287,1.09281,1.09284,6
2024.01.10,09:46:00,1.09284,1.09288,1.09282,1.09282,22
2024.01.10,09:46:30,1.09282,1.09283,1.09278,1.09279,24
2024.01.10,09:47:00,1.09279,1.09279,1.09272,1.09274,16
2024.01.10,09:47:30,1.09274,1.09275,1.09274,1.09274,12
2024.01.10,09:48:00,1.09274,1.09277,1.09272,1.09273,24
2024.01.10,09:48:30,1.09274,1.09276,1.09273,1.09275,11
2024.01.10,09:49:00,1.09275,1.09278,1.09272,1.09278,7
2024.01.10,09:49:30,1.09281,1.09287,1.09281,1.09287,8
2024.01.10,09:50:00,1.09287,1.09287,1.09284,1.09286,3
2024.01.10,09:50:30,1.09284,1.09302,1.09284,1.093,23
2024.01.10,09:51:00,1.093,1.09306,1.093,1.09302,11
2024.01.10,09:51:30,1.09302,1.0931,1.09302,1.09306,27
2024.01.10,09:52:00,1.09306,1.09315,1.09306,1.09315,21
2024.01.10,09:52:30,1.0932,1.09322,1.09314,1.09314,20
2024.01.10,09:53:00,1.09314,1.0932,1.09309,1.0932,17
2024.01.10,09:53:30,1.0932,1.09331,1.0932,1.09328,37
2024.01.10,09:54:00,1.09328,1.0933,1.09326,1.09328,25
2024.01.10,09:54:30,1.0933,1.09336,1.09328,1.09328,20
2024.01.10,09:55:00,1.09328,1.0933,1.09326,1.09326,7
2024.01.10,09:55:30,1.09325,1.09327,1.09314,1.09314,19
2024.01.10,09:56:00,1.09314,1.09314,1.09308,1.09312,18
2024.01.10,09:56:30,1.0931,1.09312,1.0931,1.09311,14
2024.01.10,09:57:00,1.09311,1.09312,1.09308,1.09308,21
2024.01.10,09:57:30,1.09308,1.0931,1.09306,1.09308,14
2024.01.10,09:58:00,1.09308,1.09311,1.09307,1.09309,18
2024.01.10,09:58:30,1.0931,1.09313,1.09309,1.0931,14
2024.01.10,09:59:00,1.0931,1.09317,1.0931,1.09316,20
2024.01.10,09:59:30,1.09317,1.09317,1.09312,1.09312,14
2024.01.10,10:00:00,1.09312,1.09314,1.09308,1.0931,19
2024.01.10,10:00:30,1.09308,1.0931,1.09302,1.09308,18
2024.01.10,10:01:00,1.09308,1.09315,1.09306,1.09306,18
2024.01.10,10:01:30,1.09308,1.09313,1.09308,1.09312,21
2024.01.10,10:02:00,1.09312,1.09312,1.09304,1.09304,9
2024.01.10,10:02:30,1.09306,1.09308,1.09306,1.09308,5
2024.01.10,10:03:00,1.09308,1.09308,1.093,1.093,14
2024.01.10,10:03:30,1.09298,1.09299,1.09298,1.09299,20
2024.01.10,10:04:00,1.09299,1.093,1.09294,1.09294,18
2024.01.10,10:04:30,1.09296,1.09299,1.09291,1.09292,29
2024.01.10,10:05:00,1.09292,1.09293,1.09284,1.09288,13
2024.01.10,10:05:30,1.0929,1.093,1.09288,1.09298,12
2024.01.10,10:06:00,1.09298,1.093,1.09296,1.093,15
2024.01.10,10:06:30,1.09298,1.09302,1.09298,1.09299,8
2024.01.10,10:07:00,1.09299,1.09303,1.09296,1.09302,24
2024.01.10,10:07:30,1.09302,1.0931,1.09302,1.0931,13
2024.01.10,10:08:00,1.0931,1.0931,1.09298,1.093,33
2024.01.10,10:08:30,1.09299,1.093,1.09292,1.09292,13
2024.01.10,10:09:00,1.09292,1.09294,1.0929,1.09292,21
2024.01.10,10:09:30,1.09294,1.09296,1.09287,1.09289,20
2024.01.10,10:10:00,1.09289,1.09292,1.09288,1.09289,10
2024.01.10,10:10:30,1.09288,1.0929,1.09281,1.09282,23
2024.01.10,10:11:00,1.09282,1.09284,1.0928,1.09284,30
2024.01.10,10:11:30,1.09285,1.0929,1.09283,1.09288,18
2024.01.10,10:12:00,1.09288,1.0929,1.09278,1.09279,29
2024.01.10,10:12:30,1.0928,1.0928,1.09278,1.0928,12
2024.01.10,10:13:00,1.0928,1.09281,1.0928,1.0928,11
2024.01.10,10:13:30,1.0928,1.0928,1.09275,1.09276,8
2024.01.10,10:14:00,1.09276,1.09281,1.09274,1.0928,12
2024.01.10,10:14:30,1.0928,1.09281,1.09278,1.0928,14
2024.01.10,10:15:00,1.0928,1.09283,1.09276,1.09282,20
2024.01.10,10:15:30,1.09284,1.09286,1.09282,1.09284,21
2024.01.10,10:16:00,1.09284,1.09296,1.09282,1.09296,29
2024.01.10,10:16:30,1.09294,1.09296,1.09284,1.09286,13
2024.01.10,10:17:00,1.09286,1.0929,1.09278,1.0928,14
2024.01.10,10:17:30,1.09279,1.09279,1.09272,1.09274,10
2024.01.10,10:18:00,1.09274,1.09274,1.09264,1.09264,24
2024.01.10,10:18:30,1.09265,1.09265,1.09264,1.09264,5
2024.01.10,10:19:00,1.09264,1.09267,1.09262,1.09262,12
2024.01.10,10:19:30,1.09262,1.09265,1.09261,1.09264,18
2024.01.10,10:20:00,1.09264,1.09265,1.09264,1.09264,12
2024.01.10,10:20:30,1.09265,1.09266,1.09262,1.09264,15
2024.01.10,10:21:00,1.09264,1.09265,1.09258,1.09262,22
2024.01.10,10:21:30,1.09264,1.09268,1.09262,1.09262,26
2024.01.10,10:22:00,1.09262,1.09265,1.09259,1.09264,19
2024.01.10,10:22:30,1.09264,1.09264,1.09252,1.09252,18
2024.01.10,10:23:00,1.09252,1.09252,1.09242,1.09251,44
2024.01.10,10:23:30,1.09254,1.09259,1.09251,1.09259,24
2024.01.10,10:24:00,1.09259,1.09263,1.09254,1.09256,13
2024.01.10,10:24:30,1.09257,1.09257,1.09252,1.09255,21
2024.01.10,10:25:00,1.09255,1.09256,1.0925,1.0925,24
2024.01.10,10:25:30,1.09252,1.09258,1.09247,1.09254,25
2024.01.10,10:26:00,1.09254,1.09255,1.09248,1.09253,33
2024.01.10,10:26:30,1.09252,1.09258,1.09252,1.09258,20
2024.01.10,10:27:00,1.09258,1.09258,1.09244,1.09244,38
2024.01.10,10:27:30,1.09242,1.09245,1.09237,1.09238,38
2024.01.10,10:28:00,1.09238,1.09247,1.09236,1.09246,27
2024.01.10,10:28:30,1.09246,1.09248,1.09236,1.09242,25
2024.01.10,10:29:00,1.09242,1.09246,1.09241,1.09246,20
2024.01.10,10:29:30,1.09248,1.09248,1.09245,1.09248,24
2024.01.10,10:30:00,1.09248,1.09268,1.09248,1.09262,66
2024.01.10,10:30:30,1.09264,1.09279,1.09264,1.0927,35
2024.01.10,10:31:00,1.0927,1.09288,1.09269,1.09285,62
2024.01.10,10:31:30,1.09284,1.09284,1.09274,1.09282,47
2024.01.10,10:32:00,1.09282,1.09289,1.09278,1.0928,50
2024.01.10,10:32:30,1.09278,1.09284,1.09275,1.09283,47
2024.01.10,10:33:00,1.09283,1.0929,1.0928,1.09282,48
2024.01.10,10:33:30,1.09284,1.09288,1.09282,1.09282,39
2024.01.10,10:34:00,1.09282,1.09282,1.09274,1.09274,29
2024.01.10,10:34:30,1.09272,1.09278,1.0927,1.09276,37
2024.01.10,10:35:00,1.09276,1.09278,1.09267,1.09278,49
2024.01.10,10:35:30,1.09282,1.09291,1.09282,1.09291,32
2024.01.10,10:36:00,1.09291,1.09294,1.09286,1.09292,41
2024.01.10,10:36:30,1.09292,1.09294,1.09286,1.09286,47
2024.01.10,10:37:00,1.09286,1.09286,1.0928,1.09284,46
2024.01.10,10:37:30,1.09284,1.09291,1.09284,1.0929,45
2024.01.10,10:38:00,1.0929,1.0929,1.09282,1.09282,20
2024.01.10,10:38:30,1.09278,1.09284,1.09276,1.09284,28
2024.01.10,10:39:00,1.09284,1.0929,1.09282,1.09286,30
2024.01.10,10:39:30,1.09285,1.09285,1.09278,1.09284,19
2024.01.10,10:40:00,1.09284,1.09284,1.09269,1.09269,31
2024.01.10,10:40:30,1.09267,1.09268,1.0925,1.09253,31
2024.01.10,10:41:00,1.09253,1.09259,1.09253,1.09258,21
2024.01.10,10:41:30,1.09254,1.09264,1.09247,1.09264,41
2024.01.10,10:42:00,1.09264,1.09277,1.0926,1.09261,38
2024.01.10,10:42:30,1.09261,1.09274,1.09261,1.09274,24
2024.01.10,10:43:00,1.09274,1.09276,1.09272,1.09274,25
2024.01.10,10:43:30,1.09273,1.09278,1.09268,1.09278,18
2024.01.10,10:44:00,1.09278,1.09278,1.09272,1.09274,33
2024.01.10,10:44:30,1.09274,1.09276,1.09272,1.09274,31
2024.01.10,10:45:00,1.09274,1.09274,1.09264,1.09266,19
2024.01.10,10:45:30,1.09266,1.09266,1.0926,1.09264,20
2024.01.10,10:46:00,1.09264,1.09266,1.09256,1.09264,32
2024.01.10,10:46:30,1.09266,1.09277,1.09266,1.09272,25
2024.01.10,10:47:00,1.09272,1.09284,1.09272,1.09282,32
2024.01.10,10:47:30,1.09286,1.09293,1.09284,1.09287,46
2024.01.10,10:48:00,1.09287,1.09292,1.09287,1.0929,31
2024.01.10,10:48:30,1.09288,1.09298,1.09288,1.09292,47
2024.01.10,10:49:00,1.09292,1.09302,1.09288,1.09302,58
2024.01.10,10:49:30,1.09304,1.09307,1.09298,1.09302,56
2024.01.10,10:50:00,1.09302,1.09304,1.09287,1.0929,43
2024.01.10,10:50:30,1.09288,1.09294,1.09286,1.09288,37
2024.01.10,10:51:00,1.09288,1.09295,1.09287,1.09293,20
2024.01.10,10:51:30,1.09295,1.09304,1.09293,1.09302,45
2024.01.10,10:52:00,1.09302,1.0931,1.09301,1.09309,25
2024.01.10,10:52:30,1.0931,1.09319,1.09306,1.09314,31
2024.01.10,10:53:00,1.09314,1.09337,1.09312,1.09336,56
2024.01.10,10:53:30,1.09335,1.09348,1.09335,1.09342,53
2024.01.10,10:54:00,1.09342,1.09342,1.09318,1.09324,46
2024.01.10,10:54:30,1.09329,1.09335,1.09324,1.09334,61
2024.01.10,10:55:00,1.09334,1.09346,1.09331,1.09344,63
2024.01.10,10:55:30,1.09343,1.09344,1.09328,1.0933,47
2024.01.10,10:56:00,1.0933,1.09342,1.09329,1.0934,30
2024.01.10,10:56:30,1.09338,1.09342,1.09332,1.09332,30
2024.01.10,10:57:00,1.09332,1.09332,1.09328,1.09329,30
2024.01.10,10:57:30,1.09328,1.09328,1.0932,1.09322,17
2024.01.10,10:58:00,1.09322,1.09324,1.09312,1.09314,24
2024.01.10,10:58:30,1.09314,1.09325,1.09314,1.09324,20
2024.01.10,10:59:00,1.09324,1.09324,1.09314,1.09322,28
2024.01.10,10:59:30,1.09322,1.09334,1.09322,1.09332,28
2024.01.10,11:00:00,1.09332,1.09333,1.09322,1.09322,29
2024.01.10,11:00:30,1.09328,1.09339,1.09328,1.09338,38
2024.01.10,11:01:00,1.09338,1.09342,1.09336,1.09336,40
2024.01.10,11:01:30,1.09335,1.09338,1.09326,1.09327,35
2024.01.10,11:02:00,1.09327,1.09328,1.09322,1.09328,35
2024.01.10,11:02:30,1.09327,1.0934,1.09327,1.09332,41
2024.01.10,11:03:00,1.09332,1.09348,1.0933,1.09348,32
2024.01.10,11:03:30,1.09349,1.0935,1.09344,1.0935,28
2024.01.10,11:04:00,1.0935,1.09364,1.0935,1.09363,40
2024.01.10,11:04:30,1.09364,1.09374,1.09354,1.09366,46
2024.01.10,11:05:00,1.09366,1.09384,1.09366,1.09384,48
2024.01.10,11:05:30,1.09388,1.09398,1.09386,1.09391,54
2024.01.10,11:06:00,1.09391,1.09398,1.09382,1.0939,74
2024.01.10,11:06:30,1.0939,1.09396,1.09389,1.0939,35
2024.01.10,11:07:00,1.0939,1.094,1.09384,1.09389,46
2024.01.10,11:07:30,1.0939,1.0939,1.09382,1.09385,27
2024.01.10,11:08:00,1.09385,1.0939,1.09382,1.09383,34
2024.01.10,11:08:30,1.09383,1.09386,1.09383,1.09386,17
2024.01.10,11:09:00,1.09386,1.09395,1.09386,1.09395,30
2024.01.10,11:09:30,1.09394,1.09399,1.09389,1.09399,33
2024.01.10,11:10:00,1.09399,1.09404,1.09396,1.09398,64
2024.01.10,11:10:30,1.09397,1.09402,1.09391,1.09396,43
2024.01.10,11:11:00,1.09396,1.09396,1.09386,1.09388,49
2024.01.10,11:11:30,1.09388,1.09397,1.09388,1.09388,40
2024.01.10,11:12:00,1.09388,1.09394,1.09388,1.09394,45
2024.01.10,11:12:30,1.09393,1.094,1.09389,1.09397,43
2024.01.10,11:13:00,1.09397,1.09402,1.09392,1.09396,29
2024.01.10,11:13:30,1.09396,1.09396,1.09386,1.09396,48
2024.01.10,11:14:00,1.09396,1.094,1.09393,1.09398,40
2024.01.10,11:14:30,1.09402,1.09404,1.09396,1.09398,58
2024.01.10,11:15:00,1.09398,1.0945,1.09398,1.09436,90
2024.01.10,11:15:30,1.09438,1.09445,1.09434,1.09437,53
2024.01.10,11:16:00,1.09437,1.09438,1.09434,1.09436,33
2024.01.10,11:16:30,1.09436,1.09438,1.09434,1.09434,44
2024.01.10,11:17:00,1.09434,1.09436,1.09434,1.09436,22
2024.01.10,11:17:30,1.09435,1.0944,1.09433,1.09438,23
2024.01.10,11:18:00,1.09438,1.09448,1.09434,1.09448,24
2024.01.10,11:18:30,1.09446,1.09453,1.09438,1.09438,17
2024.01.10,11:19:00,1.09438,1.0944,1.09424,1.0943,30
2024.01.10,11:19:30,1.09433,1.09452,1.09432,1.09452,38
2024.01.10,11:20:00,1.09452,1.09454,1.0944,1.09442,47
2024.01.10,11:20:30,1.0944,1.0944,1.09423,1.09424,33
2024.01.10,11:21:00,1.09424,1.09426,1.09418,1.0942,40
2024.01.10,11:21:30,1.09418,1.09418,1.09405,1.09406,34
2024.01.10,11:22:00,1.09406,1.0941,1.094,1.094,33
2024.01.10,11:22:30,1.09402,1.09404,1.09388,1.09391,45
2024.01.10,11:23:00,1.09391,1.09392,1.09382,1.09389,52
2024.01.10,11:23:30,1.09388,1.09389,1.09375,1.09376,40
2024.01.10,11:24:00,1.09376,1.09387,1.09371,1.09372,63
2024.01.10,11:24:30,1.09372,1.0938,1.09371,1.09377,57
2024.01.10,11:25:00,1.09377,1.0938,1.09368,1.09369,60
2024.01.10,11:25:30,1.09367,1.0937,1.0936,1.09364,97
2024.01.10,11:26:00,1.09364,1.09372,1.09356,1.09358,85
2024.01.10,11:26:30,1.09358,1.0937,1.09353,1.09368,84
2024.01.10,11:27:00,1.09368,1.09368,1.09357,1.09364,52
2024.01.10,11:27:30,1.09361,1.09361,1.09318,1.09318,124
2024.01.10,11:28:00,1.09318,1.0933,1.09302,1.09308,111
2024.01.10,11:28:30,1.09309,1.09318,1.0929,1.0929,129
2024.01.10,11:29:00,1.0929,1.09294,1.09269,1.09276,102
2024.01.10,11:29:30,1.09278,1.09278,1.0926,1.09264,145
2024.01.10,11:30:00,1.09264,1.0929,1.09263,1.09281,173
2024.01.10,11:30:30,1.09276,1.0929,1.09264,1.09276,157
2024.01.10,11:31:00,1.09276,1.0928,1.09234,1.09236,134
2024.01.10,11:31:30,1.09238,1.09238,1.0923,1.09236,64
2024.01.10,11:32:00,1.09236,1.09299,1.09236,1.09299,71
2024.01.10,11:32:30,1.093,1.09312,1.0929,1.09309,68
2024.01.10,11:33:00,1.09309,1.0931,1.09267,1.09268,107
2024.01.10,11:33:30,1.09268,1.0931,1.09264,1.0931,67
2024.01.10,11:34:00,1.0931,1.09316,1.09306,1.09309,50
2024.01.10,11:34:30,1.0931,1.0931,1.0929,1.09295,37
2024.01.10,11:35:00,1.09295,1.09318,1.09292,1.09312,57
2024.01.10,11:35:30,1.09312,1.09329,1.09308,1.09324,84
2024.01.10,11:36:00,1.09324,1.0934,1.0932,1.09321,66
2024.01.10,11:36:30,1.09322,1.0933,1.09312,1.09329,58
2024.01.10,11:37:00,1.09329,1.09332,1.09312,1.09314,61
2024.01.10,11:37:30,1.09316,1.09336,1.0931,1.09335,72
2024.01.10,11:38:00,1.09335,1.09336,1.09328,1.09329,47
2024.01.10,11:38:30,1.09322,1.09335,1.09322,1.09328,54
2024.01.10,11:39:00,1.09328,1.09332,1.09318,1.09332,63
2024.01.10,11:39:30,1.09329,1.09336,1.0932,1.09333,69
2024.01.10,11:40:00,1.09333,1.09334,1.0931,1.09322,59
2024.01.10,11:40:30,1.09321,1.09322,1.09304,1.09315,68
2024.01.10,11:41:00,1.09315,1.09321,1.09312,1.09314,56
2024.01.10,11:41:30,1.09316,1.09316,1.09306,1.09308,28
2024.01.10,11:42:00,1.09308,1.09318,1.09308,1.09315,15
2024.01.10,11:42:30,1.0931,1.09319,1.09308,1.0931,59
2024.01.10,11:43:00,1.0931,1.09318,1.09296,1.09298,39
2024.01.10,11:43:30,1.09296,1.09302,1.09294,1.093,58
2024.01.10,11:44:00,1.093,1.09312,1.093,1.09304,40
2024.01.10,11:44:30,1.09306,1.0932,1.09306,1.09308,42
2024.01.10,11:45:00,1.09308,1.09318,1.09308,1.09308,27
2024.01.10,11:45:30,1.09308,1.09315,1.09308,1.09314,28
2024.01.10,11:46:00,1.09314,1.0932,1.09308,1.09318,34
2024.01.10,11:46:30,1.0931,1.09312,1.093,1.09302,43
2024.01.10,11:47:00,1.09302,1.09323,1.09302,1.09318,34
2024.01.10,11:47:30,1.09318,1.09328,1.09318,1.09328,41
2024.01.10,11:48:00,1.09328,1.09328,1.09312,1.09322,39
2024.01.10,11:48:30,1.09319,1.09334,1.09318,1.09332,36
2024.01.10,11:49:00,1.09332,1.09338,1.09328,1.09338,42
2024.01.10,11:49:30,1.09336,1.09346,1.09327,1.09341,68
2024.01.10,11:50:00,1.09341,1.09364,1.09336,1.09364,65
2024.01.10,11:50:30,1.09365,1.09374,1.09355,1.0936,71
2024.01.10,11:51:00,1.0936,1.09364,1.09353,1.09359,49
2024.01.10,11:51:30,1.09359,1.09374,1.09359,1.0937,53
2024.01.10,11:52:00,1.0937,1.0938,1.0937,1.09375,42
2024.01.10,11:52:30,1.09369,1.09385,1.09368,1.09383,39
2024.01.10,11:53:00,1.09383,1.09404,1.0938,1.09395,76
2024.01.10,11:53:30,1.09396,1.09396,1.09387,1.09394,36
2024.01.10,11:54:00,1.09394,1.09401,1.09392,1.09392,55
