date,jdate,open,high,low,close
2024-05-28,1403-03-08,2352.07,2363.4,2340.89,2360.3
2024-05-27,1403-03-07,2336.07,2358.26,2332.57,2350.98
2024-05-25,1403-03-05,2334.43,2334.86,2333.82,2334.02
2024-05-24,1403-03-04,2328.62,2347.09,2325.73,2334.59
2024-05-23,1403-03-03,2379.05,2383.73,2330.85,2331.11
2024-05-22,1403-03-02,2421.6,2426.23,2375.47,2379.69
2024-05-21,1403-03-01,2424.76,2433.48,2407.01,2421.52
2024-05-20,1403-02-31,2422.11,2449.97,2409.69,2425.73
2024-05-18,1403-02-29,2415.66,2417.35,2414.1,2414.7
2024-05-17,1403-02-28,2376.48,2418.97,2374.14,2415.06
2024-05-16,1403-02-27,2387.24,2396.97,2371.85,2377.23
2024-05-15,1403-02-26,2358.05,2389.97,2354.81,2387.57
2024-05-14,1403-02-25,2336.15,2359.6,2335.19,2356.7
2024-05-13,1403-02-24,2361.59,2364.4,2333.47,2336.43
2024-05-11,1403-02-22,2363.74,2363.74,2360.27,2360.45
2024-05-10,1403-02-21,2344.85,2377.9,2344.68,2363.81
2024-05-09,1403-02-20,2308.86,2346.81,2307.06,2345.59
2024-05-08,1403-02-19,2313.62,2321.35,2304.36,2308.69
2024-05-07,1403-02-18,2325.33,2329.32,2310.41,2313.86
2024-05-06,1403-02-17,2302.43,2331.85,2292.12,2325.23
2024-05-04,1403-02-15,2301.76,2303.15,2301.45,2301.89
2024-05-03,1403-02-14,2301.75,2319.93,2279.47,2301.35
2024-05-02,1403-02-13,2318.03,2326.35,2286.62,2303.45
2024-05-01,1403-02-12,2286.97,2327.4,2281.85,2317.74
2024-04-30,1403-02-11,2336.84,2337.02,2289.84,2291.26
2024-04-29,1403-02-10,2333.45,2346.26,2320.7,2336.18
2024-04-27,1403-02-08,2338.12,2338.12,2338.12,2338.12
2024-04-26,1403-02-07,2332.53,2352.06,2326.66,2338.91
2024-04-25,1403-02-06,2316.13,2343.81,2308.1,2332.05
2024-04-24,1403-02-05,2322.24,2335.47,2312.24,2316.19
2024-04-23,1403-02-04,2327.43,2334.38,2293.71,2322.69
2024-04-22,1403-02-03,2386.86,2392.39,2325.48,2329.89
2024-04-19,1403-01-31,2378.97,2416.57,2373.26,2392.39
2024-04-18,1403-01-30,2372.76,2392.05,2359.12,2378.68
2024-04-17,1403-01-29,2382.93,2394.82,2362.27,2372.28
2024-04-16,1403-01-28,2383.19,2397.14,2364.6,2388.01
2024-04-15,1403-01-27,2360.23,2387.28,2325.94,2383.55
2024-04-12,1403-01-24,2372.47,2430.1,2334.97,2344.25
2024-04-11,1403-01-23,2333.73,2376.19,2326.05,2375.38
2024-04-10,1403-01-22,2352.38,2356.98,2345.85,2356.93
2024-04-09,1403-01-21,2338.94,2365.15,2337.06,2352.49
2024-04-08,1403-01-20,2326.03,2352.93,2304.23,2338.55
2024-04-06,1403-01-18,2329.83,2329.83,2329.83,2329.83
2024-04-05,1403-01-17,2290.99,2329.6,2268.12,2324.56
2024-04-04,1403-01-16,2299.84,2304.28,2282.52,2290.74
2024-04-03,1403-01-15,2280.65,2298.86,2266.01,2298.56
2024-04-01,1403-01-13,2241.31,2278.65,2229.73,2277.41
2024-03-29,1403-01-10,2233.1,2233.1,2233.1,2233.1
2024-03-28,1403-01-09,2194.9,2224.51,2187.56,2219.98
2024-03-27,1403-01-08,2178.77,2197.38,2174.28,2195.03
2024-03-26,1403-01-07,2171.31,2198.85,2167.95,2176.31
2024-03-25,1403-01-06,2166.27,2180.57,2164.09,2171.64
2024-03-23,1403-01-04,2164.06,2167.02,2163.81,2165.16
2024-03-22,1403-01-03,2181.68,2185.85,2157.44,2162.15
2024-03-19,1402-12-29,2160.44,2215.35,2148.18,2182.18
2024-03-18,1402-12-28,2154.44,2162.65,2146.43,2159.91
2024-03-16,1402-12-26,2155.91,2155.91,2155.91,2155.91
2024-03-14,1402-12-24,2174.36,2177.05,2155.06,2158.1
2024-03-13,1402-12-23,2158.27,2179.59,2156.02,2173.14
2024-03-12,1402-12-22,2182.72,2184.51,2151.28,2156.55
2024-03-11,1402-12-21,2180.03,2188.6,2175.88,2181.81
2024-03-09,1402-12-19,2178.16,2179.16,2176.98,2179.16
2024-03-08,1402-12-18,2159.1,2194.94,2154.15,2177.03
2024-03-06,1402-12-16,2129.45,2164.05,2123.9,2160.28
2024-03-04,1402-12-14,2082.89,2141.03,2079.59,2130.26
2024-03-02,1402-12-12,2083.55,2084.05,2082.98,2082.98
2024-03-01,1402-12-11,2043.58,2088.06,2039.13,2084.76
2024-02-29,1402-12-10,2033.8,2050.61,2028.28,2045.31
2024-02-28,1402-12-09,2030.19,2037.59,2024.97,2033.88
2024-02-27,1402-12-08,2032.19,2039.4,2029.22,2029.24
2024-02-26,1402-12-07,2033.15,2037.03,2026.73,2032.15
2024-02-24,1402-12-05,2036.38,2036.42,2035.21,2035.56
2024-02-23,1402-12-04,2024.63,2041.13,2016.14,2036.76
2024-02-22,1402-12-03,2025.08,2034.41,2020.37,2023.33
2024-02-21,1402-12-02,2024.42,2032.11,2021.18,2025.12
2024-02-20,1402-12-01,2017.72,2030.79,2015.11,2024.05
2024-02-19,1402-11-30,2019.65,2022.82,2013.31,2017.89
2024-02-17,1402-11-28,2012.53,2013.9,2012.53,2013.31
2024-02-16,1402-11-27,2004.64,2015.01,1995.88,2012.28
2024-02-15,1402-11-26,1990.79,2007.83,1990.53,2003.88
2024-02-14,1402-11-25,1992.32,1995.62,1985.42,1990.06
2024-02-13,1402-11-24,2020.32,2029.29,1990.35,1992.62
2024-02-12,1402-11-23,2026.73,2027.49,2011.96,2019.52
2024-02-10,1402-11-21,2025.07,2025.59,2024.09,2024.63
2024-02-09,1402-11-20,2033.07,2036.87,2020.62,2026.09
2024-02-08,1402-11-19,2031.35,2038.41,2020.57,2033.28
2024-02-07,1402-11-18,2035.48,2040.27,2030.91,2032.31
2024-02-05,1402-11-16,2029.37,2038.76,2015.82,2035.77
2024-02-02,1402-11-13,2054.15,2057.47,2028.12,2039.76
2024-01-31,1402-11-11,2036.2,2065.03,2030.67,2054.41
2024-01-30,1402-11-10,2031.43,2048.35,2030.08,2036.48
2024-01-29,1402-11-09,2023.77,2037.36,2019.44,2033.22
2024-01-27,1402-11-07,2018.96,2019.08,2018.14,2018.49
2024-01-26,1402-11-06,2019.44,2026.2,2016.26,2018.21
2024-01-25,1402-11-05,2012.2,2024.93,2012.2,2017.86
2024-01-24,1402-11-04,2028.43,2035.96,2011.51,2013.12
2024-01-23,1402-11-03,2020.65,2037.26,2019.89,2029.09
2024-01-22,1402-11-02,2028.24,2032.05,2019.22,2019.9
2024-01-20,1402-10-30,2028.79,2030.07,2028.79,2029.69
2024-01-19,1402-10-29,2022.44,2038.44,2020.68,2028.39
2024-01-18,1402-10-28,2006.04,2020.97,2005.79,2020.97
2024-01-17,1402-10-27,2028.68,2032.64,2002.4,2005.55
2024-01-16,1402-10-26,2055.18,2055.68,2024.46,2028.74
2024-01-15,1402-10-25,2047.93,2058.57,2046.38,2054.88
2024-01-13,1402-10-23,2047.12,2049.18,2047.06,2049.18
2024-01-12,1402-10-22,2027.59,2061.86,2027.59,2047.34
2024-01-11,1402-10-21,2023.59,2038.49,2013.7,2025.71
2024-01-10,1402-10-20,2028.97,2039.29,2020.82,2022.71
2024-01-09,1402-10-19,2027.9,2039.61,2026.35,2030.19
2024-01-08,1402-10-18,2044.99,2046.49,2018.56,2026.72
2024-01-06,1402-10-16,2044.36,2046.22,2044.11,2045.61
2024-01-05,1402-10-15,2043.67,2061.89,2026.3,2044.35
2024-01-04,1402-10-14,2041.64,2050.59,2036.61,2043.91
2024-01-03,1402-10-13,2058.74,2065.78,2030.95,2041.57
